lat,long,name
42.35477244,-87.98967664,$406.13
42.35481054,-87.99218119,$394.89
42.35524862,-87.99155492,$393.82
42.35561548,-87.99211037,$508.18
42.35623526,-87.99055013,$525.38
42.35541335,-87.98969829,$501.61
42.35506793,-87.99172725,$509.51
42.3560393,-87.99210654,$508.03
42.35603095,-87.98970605,$505.29
42.35582514,-87.98970281,$503.29
42.35500178,-87.98969458,$503.73
42.35539229,-87.99213068,$478.45
42.35481645,-87.99034368,$492.59
42.35667065,-87.9908739,$465.25
42.35586977,-87.99033677,$479.69
42.35666559,-87.99163745,$464.29
42.35561928,-87.98970154,$454.36
42.35523586,-87.99032694,$449.70
42.35667604,-87.99113095,$432.89
42.35627043,-87.98969394,$451.28
42.35458286,-87.99026713,$432.24
42.3543042,-87.98964122,$431.24
42.35619543,-87.99142244,$408.25
42.35582128,-87.99211207,$399.69
42.35667619,-87.99029436,$379.47
42.35621981,-87.991127,$371.99
42.35621714,-87.99086882,$386.63
42.35654339,-87.98972767,$341.07
42.35520821,-87.98969646,$423.99
42.35656827,-87.9919372,$274.58
